timestamp,price,percent_change_24h,volatility,log_return,volatility_7d,volatility_14d,volatility_30d,avg_abs_change_7d,avg_abs_change_14d,avg_abs_change_30d,parkinson_7d,eth_volatility_index
2024-12-29 16:00:00,3357.330743,,,,,,,,,,,
2024-12-30 16:00:00,3359.513942,0.07,0.07,0.000650066863019213,,,,,,,,
2024-12-31 16:00:00,3336.617514,-0.68,0.68,-0.006838729910195859,,,,,,,,
2025-01-01 16:00:00,3348.967247,0.37,0.37,0.003694440348349767,,,,,,,,
2025-01-02 16:00:00,3448.140437,2.96,2.96,0.029183068130467452,,,,,,,,
2025-01-03 16:00:00,3604.29138,4.53,4.53,0.044290103574184204,,,,,,,,
2025-01-04 16:00:00,3660.378042,1.56,1.56,0.015441246708561143,,,,,,,,
2025-01-05 16:00:00,3635.854996,-0.67,0.67,-0.0067221368111558275,1.9366321449780142,,,1.5485714285714285,,,1.2993949462002172,
2025-01-06 16:00:00,3687.144714,1.41,1.41,0.014008072846345155,1.8781487262478918,,,1.74,,,1.3381372332327932,
2025-01-07 16:00:00,3380.021126,-8.33,8.33,-0.0869704085070845,4.25181296440947,,,2.8328571428571427,,,2.3112846989964475,
2025-01-08 16:00:00,3325.130029,-1.62,1.62,-0.01637317996190747,4.304600958522668,,,3.011428571428571,,,2.3388469288842346,
2025-01-09 16:00:00,3219.092845,-3.19,3.19,-0.032409185100294016,4.212839241927883,,,3.044285714285714,,,2.3543760996764203,
2025-01-10 16:00:00,3269.175995,1.56,1.56,0.015438369148837672,3.7058535407040885,,,2.62,,,2.1473569544184556,
2025-01-11 16:00:00,3283.591323,0.44,0.44,0.004399775104098751,3.5813546995114818,,,2.46,,,2.1203127803270414,
2025-01-12 16:00:00,3264.070969,-0.59,0.59,-0.005962559143069942,3.5845776815077652,3.0974934141405823,,2.448571428571429,1.9985714285714287,,2.119087677343953,3.54731813564172
2025-01-13 16:00:00,3134.552039,-3.97,3.97,-0.04048890621495298,3.4275322027819217,3.261109537491965,,2.814285714285714,2.277142857142857,,2.280388928440742,3.9076976258888396
2025-01-14 16:00:00,3224.800648,2.88,2.88,0.028384860159528562,2.4970064293847614,3.3791624576127313,,2.0357142857142856,2.434285714285714,,1.4325817159833252,4.12386694309208
2025-01-15 16:00:00,3447.034048,6.89,6.89,0.06664303129715514,3.6616835458872607,3.8526210293593834,,2.7885714285714287,2.9,,2.088793951648623,4.826310514679692
2025-01-16 16:00:00,3309.446614,-3.99,3.99,-0.040733175751549944,3.8142987027703157,3.9264535581968927,,2.902857142857143,2.9735714285714288,,2.1584760260697045,4.9367982076698755
2025-01-17 16:00:00,3477.284285,5.07,5.07,0.04947062195040206,4.18403863297322,3.976502527326232,,3.404285714285714,3.0121428571428575,,2.4203446791752463,5.000394120805973
2025-01-18 16:00:00,3309.099568,-4.84,4.84,-0.04957549271530262,4.739480706468168,4.126882108040129,,4.032857142857143,3.246428571428571,,2.656142513376617,5.309869625448636
2025-01-19 16:00:00,3208.136544,-3.05,3.05,-0.030985865854711053,4.893541933547827,4.17535596698277,,4.384285714285714,3.4164285714285714,,2.741617574615932,5.504106554919956
2025-01-20 16:00:00,3263.06987,1.71,1.71,0.0169781775027432,4.624028161582349,4.188646001869239,,4.061428571428571,3.437857142857143,,2.6182156288172336,5.532180143791763
2025-01-21 16:00:00,3326.02854,1.93,1.93,0.019110531419622,4.561191620724904,3.579575774003628,,3.9257142857142857,2.980714285714286,,2.5728603539236308,4.7705021727161
2025-01-22 16:00:00,3237.299667,-2.67,2.67,-0.027039415419693742,3.7296197116447583,3.6255246055948076,,3.3228571428571425,3.055714285714285,,2.13094677690948,4.8684765885116885
2025-01-23 16:00:00,3332.580893,2.94,2.94,0.029007500552452704,3.670671944487526,3.5996021222823957,,3.172857142857143,3.037857142857143,,2.0410815251405032,4.837658203998341
2025-01-24 16:00:00,3311.849984,-0.62,0.62,-0.00624010593342307,2.9842345697007047,3.586148995724802,,2.5371428571428574,2.9707142857142856,,1.6915612653142964,4.763788783576686
2025-01-25 16:00:00,3320.13141,0.25,0.25,0.002497422659190758,2.3201125915837837,3.58509190072105,,1.8814285714285715,2.957142857142857,,1.2874781259020447,4.749688807503382
2025-01-26 16:00:00,3232.276774,-2.65,2.65,-0.026817590958239327,2.2294868487702493,3.657898122913488,,1.8242857142857143,3.1042857142857145,,1.2410170540687862,4.933234775742458
2025-01-27 16:00:00,3173.534608,-1.82,1.82,-0.0183407874976188,2.209048488007026,3.5177844224357844,,1.8399999999999999,2.950714285714285,,1.2490518072591406,4.709606496932177
2025-01-28 16:00:00,3076.493769,-3.06,3.06,-0.031055423171649495,2.1482022479321463,3.519022250731569,3.268294721855842,2.0014285714285713,2.9635714285714285,2.5439999999999996,1.3603909129514642,4.723082553937213
2025-01-29 16:00:00,3114.435885,1.23,1.23,0.012257477688442955,2.1767720965771344,2.9391872606400913,3.2795082919703114,1.7957142857142858,2.559285714285714,2.582666666666667,1.2495199200880724,4.02887934460576
2025-01-30 16:00:00,3248.249484,4.3,4.3,0.04206819139461437,2.5466687780960653,3.044731831211985,3.3774207499800593,1.99,2.5814285714285714,2.703333333333333,1.4382746771010344,4.103794487034564
