timestamp,price,percent_change_24h,volatility,log_return,volatility_7d,volatility_14d,volatility_30d,avg_abs_change_7d,avg_abs_change_14d,avg_abs_change_30d,parkinson_7d,btc_volatility_index
2024-12-29 16:00:00,93663.44752,,,,,,,,,,,
2024-12-30 16:00:00,92627.282131,-1.11,1.11,-0.011124290257066093,,,,,,,,
2024-12-31 16:00:00,93507.858747,0.95,0.95,0.00946176182853299,,,,,,,,
2025-01-01 16:00:00,94384.176115,0.94,0.94,0.009327949667612884,,,,,,,,
2025-01-02 16:00:00,96852.146812,2.61,2.61,0.025812122767446176,,,,,,,,
2025-01-03 16:00:00,98084.342793,1.27,1.27,0.012642193308893976,,,,,,,,
2025-01-04 16:00:00,98256.738768,0.18,0.18,0.0017560870902091307,,,,,,,,
2025-01-05 16:00:00,98364.589466,0.11,0.11,0.0010970397747303098,1.1460390361759645,,,1.0242857142857142,,,0.7693514852788155,
2025-01-06 16:00:00,102229.394532,3.93,3.93,0.038538378003976165,1.355401308385821,,,1.4271428571428573,,,1.150744850371253,
2025-01-07 16:00:00,96952.098868,-5.16,5.16,-0.05300222371747247,2.8939360368389506,,,2.028571428571429,,,1.6277567024310493,
2025-01-08 16:00:00,95016.71441,-2.0,2.0,-0.020164213145417748,3.034535222073354,,,2.18,,,1.6763543301939914,
2025-01-09 16:00:00,92376.275783,-2.78,2.78,-0.028182627197565778,2.9831722784364714,,,2.204285714285714,,,1.690377483159675,
2025-01-10 16:00:00,94736.626742,2.56,2.56,0.025230501351303253,3.152745518165533,,,2.3885714285714283,,,1.7640704997307741,
2025-01-11 16:00:00,94559.551672,-0.19,0.19,-0.0018708789911478089,3.1428312186433485,,,2.39,,,1.7641245335477516,
2025-01-12 16:00:00,94454.770896,-0.11,0.11,-0.0011087073752903587,3.1362377431036843,2.3635393355000986,,2.39,1.707142857142857,,1.7641245335477516,2.8889125248929064
2025-01-13 16:00:00,94456.349375,0.0,0.0,1.671134020872133e-05,2.502661597325336,2.3396594429064996,,1.8285714285714287,1.627857142857143,,1.5219525724635543,2.7976868643103927
2025-01-14 16:00:00,96574.077688,2.24,2.24,0.02217254188176916,1.9712961813705627,2.3973154487718897,,1.4114285714285713,1.7200000000000002,,1.0968095823091912,2.918657724385945
2025-01-15 16:00:00,100313.152398,3.87,3.87,0.037986458667378584,2.21728682897335,2.5774851209059815,,1.6785714285714286,1.929285714285714,,1.3298774711281998,3.218028274738705
2025-01-16 16:00:00,100044.579268,-0.27,0.27,-0.002680937627205456,1.6706315392126008,2.506510807863778,,1.32,1.7621428571428572,,1.1722311233662186,3.015398261074746
2025-01-17 16:00:00,104160.693585,4.11,4.11,0.04031895794819938,1.9524942438718247,2.6961839672053425,,1.5414285714285716,1.965,,1.3808747908573145,3.3130919836026713
2025-01-18 16:00:00,104334.615757,0.17,0.17,0.0016683561168863914,1.9100335044082861,2.6962484938725417,,1.5385714285714287,1.9642857142857146,,1.3807404568927617,3.3124099612219853
2025-01-19 16:00:00,101275.337148,-2.93,2.93,-0.02976027527912211,2.5038000492184005,2.84628197313622,,1.9414285714285715,2.165714285714286,,1.532369475995369,3.588855272282396
2025-01-20 16:00:00,101764.908602,0.48,0.48,0.004822417358379657,2.478451408260943,2.6499680468935383,,2.0100000000000002,1.919285714285714,,1.5362381098501372,3.244269737732483
2025-01-21 16:00:00,106182.23682,4.34,4.34,0.04249149775974027,2.741014214294862,2.407693615536405,,2.31,1.860714285714286,,1.7527114802027817,3.0645610934824887
2025-01-22 16:00:00,103673.535095,-2.36,2.36,-0.02390995698408483,2.8185786642957886,2.4414428164675397,,2.0942857142857143,1.8864285714285718,,1.6085049165209153,3.1071499796623416
2025-01-23 16:00:00,104067.609912,0.38,0.38,0.003793906976593386,2.8008607252696627,2.2356593329596524,,2.1100000000000003,1.715,,1.6096496796845305,2.8328296664798263
2025-01-24 16:00:00,104835.192536,0.74,0.74,0.007348738929084626,2.363391762510288,2.1832643424812557,,1.6285714285714286,1.5850000000000002,,1.3224313303914967,2.676632171240628
2025-01-25 16:00:00,104796.040777,-0.04,0.04,-0.0003735298298489821,2.363577270957141,2.1788227137310696,,1.6099999999999999,1.5742857142857145,,1.3218993894908029,2.6636970711512493
2025-01-26 16:00:00,102552.248743,-2.14,2.14,-0.02164357979052889,2.204171805404897,2.305523954149769,,1.497142857142857,1.7192857142857143,,1.2413885865510765,2.872047691360599
2025-01-27 16:00:00,101958.469537,-0.58,0.58,-0.00580684356775461,2.216377968931098,2.322100758308529,,1.5114285714285713,1.760714285714286,,1.2435864481593157,2.9217646648685505
2025-01-28 16:00:00,101313.112645,-0.63,0.63,-0.006349722409940555,1.2027238205496245,2.2890709494248846,2.2383156744023296,0.9814285714285714,1.6457142857142857,1.6393333333333333,0.7723059641386292,2.790249760426728
2025-01-29 16:00:00,103718.979398,2.37,2.37,0.023469274089387048,1.3915216856528743,2.1490484954429023,2.254135987842542,0.9828571428571429,1.5385714285714287,1.6813333333333333,0.7738821786077917,2.61309567629288
2025-01-30 16:00:00,104781.51351,1.02,1.02,0.01019223787262904,1.440276602257857,2.153242202776426,2.2548113600917903,1.0742857142857143,1.592142857142857,1.6836666666666666,0.8031561913321648,2.66876395853107
2025-01-31 16:00:00,102382.394097,-2.29,2.29,-0.023162593344864493,1.6601938435416859,1.9748340134043136,2.3047908561826467,1.2957142857142858,1.462142857142857,1.7286666666666666,0.9418313003786125,2.449559863845014
