timestamp,price,percent_change_24h,volatility,log_return,volatility_12h,volatility_24h,volatility_48h,avg_abs_change_12h,avg_abs_change_24h,btc_volatility_index_hourly
2025-04-04 10:04:54,83345.069709,0.56,0.56,,,,,,,
2025-04-04 11:03:53,84430.202968,1.3,1.3,0.012935736872540272,,,,,,
2025-04-04 12:04:58,83881.500177,-0.65,0.65,-0.006520101984645185,,,,,,
2025-04-04 13:04:40,84003.036881,0.14,0.14,0.0014478608615334457,,,,,,
2025-04-04 14:07:01,83997.830575,-0.01,0.01,-6.197951332650795e-05,,,,,,
2025-04-04 15:04:52,84162.250733,0.2,0.2,0.001955520110565106,,,,,,
2025-04-04 16:04:43,84032.719005,-0.15,0.15,-0.0015402571647665923,,,,,,
2025-04-04 17:06:50,83733.529312,-0.36,0.36,-0.0035667485347582544,,,,,,
2025-04-04 18:04:30,83784.565957,0.06,0.06,0.0006093269684939502,,,,,,
2025-04-04 19:04:50,83958.72378,0.21,0.21,0.0020764811021707764,,,,,,
2025-04-04 20:04:35,83944.755519,-0.02,0.02,-0.00016638441431402208,,,,,,
2025-04-04 21:07:37,83616.731802,-0.39,0.39,-0.0039152688517676,,,,0.33749999999999997,,
2025-04-04 22:04:42,83658.773874,0.05,0.05,0.0005026686090753797,0.4767121173505245,,,0.295,,
2025-04-04 23:04:43,83674.192591,0.02,0.02,0.00018428785874483768,0.2647723353610434,,,0.18833333333333335,,
2025-04-05 00:04:46,83455.568618,-0.26,0.26,-0.0026162198296468503,0.20456158582490727,,,0.15583333333333332,,
2025-04-05 01:04:41,83491.711494,0.04,0.04,0.00043298550944236523,0.1981144248251515,,,0.1475,,
2025-04-05 02:04:49,83508.262333,0.02,0.02,0.00019821367243261112,0.19878914233239048,,,0.14833333333333334,,
2025-04-05 03:04:55,83853.694114,0.41,0.41,0.004127966460830223,0.23043054139767322,,,0.16583333333333333,,
2025-04-05 04:09:36,83642.026039,-0.25,0.25,-0.002527445924997946,0.23690834671534033,,,0.17416666666666666,,
2025-04-05 05:09:25,83422.405563,-0.26,0.26,-0.002629172474421353,0.2268037306799624,,,0.16583333333333333,,
2025-04-05 06:02:26,83241.355724,-0.22,0.22,-0.002172636796627228,0.23073410143901993,,,0.17916666666666667,,
2025-04-05 07:04:54,82718.107614,-0.63,0.63,-0.00630575483049749,0.26810883887047243,,,0.21416666666666664,,
2025-04-05 08:04:41,82907.992275,0.23,0.23,0.002292932627419194,0.2858771162768277,,,0.23166666666666666,,
2025-04-05 09:04:48,82623.629043,-0.34,0.34,-0.0034357606053163335,0.2817920497379067,,,0.2275,0.28250000000000003,
2025-04-05 10:02:29,82734.089547,0.13,0.13,0.0013360189215525708,0.28680259706688754,0.38991424796554125,,0.23416666666666666,0.26458333333333334,0.45954045731610393
2025-04-05 11:04:45,82819.721615,0.1,0.1,0.0010344923506832465,0.29081737916795664,0.2720407840868765,,0.24083333333333334,0.21458333333333332,0.35060372537677154
2025-04-05 12:02:14,83065.203003,0.3,0.3,0.0029596609548257317,0.3043550057002151,0.2536103599113879,,0.24416666666666664,0.20000000000000004,0.326805179955694
2025-04-05 13:04:46,82842.658073,-0.27,0.27,-0.002682754898185152,0.30992841660200154,0.2544864132758191,,0.26333333333333336,0.20541666666666666,0.33265987330457625
2025-04-05 14:04:56,83048.820251,0.25,0.25,0.002485507829789528,0.3224039941996611,0.2619426583283462,,0.28250000000000003,0.21541666666666667,0.3463879958308398
2025-04-05 15:04:59,82909.581279,-0.17,0.17,-0.0016779988646234002,0.2891471882117371,0.2577605713427019,,0.2625,0.21416666666666664,0.34304695233801763
2025-04-05 16:04:48,83167.517929,0.31,0.31,0.003106230282506352,0.30631851195482585,0.2678386778012214,,0.2675,0.22083333333333335,0.354752672233944
2025-04-05 17:04:52,83514.338244,0.42,0.42,0.004161470522078907,0.3250393188715826,0.2748668860674971,,0.2808333333333333,0.22333333333333336,0.3607667763670819
2025-04-05 18:04:52,83478.355581,-0.04,0.04,-0.00043094895630094854,0.3178170905197166,0.2745045115336532,,0.2658333333333333,0.22250000000000003,0.3597522557668266
2025-04-05 19:00:54,83397.091908,-0.1,0.1,-0.0009739441079733357,0.2475314580118169,0.2707715303064821,,0.22166666666666668,0.21791666666666668,0.3533024318199077
2025-04-05 20:04:43,83276.110761,-0.15,0.15,-0.0014517170884079747,0.24896593523085278,0.2718068831106504,,0.215,0.22333333333333336,0.35923677488865857
2025-04-05 21:04:48,83315.283342,0.05,0.05,0.0004702833772763275,0.2183483353966512,0.26121354750414755,,0.19083333333333333,0.2091666666666667,0.33977344041874047
2025-04-05 22:04:45,83466.045514,0.18,0.18,0.0018079027682309475,0.22002681079161127,0.26397667690999954,,0.19499999999999998,0.21458333333333332,0.3465716717883331
2025-04-05 23:04:53,83417.470287,-0.06,0.06,-0.0005821453142170515,0.22294960001226463,0.26408630381335113,,0.19166666666666665,0.21625000000000003,0.3482931519066756
2025-04-06 00:04:52,83089.491114,-0.39,0.39,-0.003939530148455741,0.24446643291484385,0.27080322715522576,,0.1991666666666667,0.22166666666666668,0.35706828024427956
2025-04-06 01:02:20,82975.834111,-0.14,0.14,-0.001368823029038449,0.2339557700087757,0.27151742388110406,,0.18833333333333335,0.22583333333333333,0.36159204527388533
2025-04-06 02:04:53,83007.510336,0.04,0.04,0.0003816795653814997,0.22232479717776507,0.2716773053398286,,0.17083333333333336,0.22666666666666666,0.3625053193365809
