timestamp,price,percent_change_24h,volatility,log_return,volatility_12h,volatility_24h,volatility_48h,avg_abs_change_12h,avg_abs_change_24h,eth_volatility_index_hourly
2025-04-04 11:04:37,1822.440055,1.41,1.41,,,,,,,
2025-04-04 12:04:51,1805.157128,-0.95,0.95,-0.009528653207735424,,,,,,
2025-04-04 13:04:41,1811.501436,0.35,0.35,0.0035083845462758893,,,,,,
2025-04-04 14:06:14,1822.378066,0.6,0.6,0.005986253795450925,,,,,,
2025-04-04 15:04:52,1818.039832,-0.24,0.24,-0.0023833725551025875,,,,,,
2025-04-04 16:04:46,1819.511376,0.08,0.08,0.0008090850113883487,,,,,,
2025-04-04 17:06:41,1812.86364,-0.37,0.37,-0.003660273728727784,,,,,,
2025-04-04 18:09:36,1822.965423,0.56,0.56,0.005556811840519119,,,,,,
2025-04-04 19:04:50,1819.593671,-0.18,0.18,-0.001851309958741889,,,,,,
2025-04-04 20:02:51,1815.860452,-0.21,0.21,-0.0020537848565426848,,,,,,
2025-04-04 21:04:55,1809.987199,-0.32,0.32,-0.0032396607371107176,,,,,,
2025-04-04 22:04:44,1808.663362,-0.07,0.07,-0.0007316744387131482,,,,0.445,,
2025-04-04 23:04:43,1809.801016,0.06,0.06,0.0006288048844156606,0.431261898167331,,,0.33249999999999996,,
2025-04-05 00:04:46,1807.739019,-0.11,0.11,-0.0011399996701426296,0.32884886460919766,,,0.2625,,
2025-04-05 01:04:42,1812.305933,0.25,0.25,0.002523126913266075,0.3207476282658005,,,0.25416666666666665,,
2025-04-05 02:04:48,1813.186685,0.05,0.05,0.00048586612089797566,0.2619049488550971,,,0.20833333333333334,,
2025-04-05 03:04:32,1821.424633,0.45,0.45,0.0045330635855161125,0.28945731150336657,,,0.22583333333333333,,
2025-04-05 04:03:26,1818.423349,-0.16,0.16,-0.0016491263893644783,0.2930832787428057,,,0.2325,,
2025-04-05 05:09:22,1806.93143,-0.63,0.63,-0.006339769866089806,0.3308628288787562,,,0.25416666666666665,,
2025-04-05 06:00:09,1795.374453,-0.64,0.64,-0.0064164549187427705,0.31940665740581253,,,0.26083333333333336,,
2025-04-05 07:02:24,1787.473703,-0.44,0.44,-0.004410325228660086,0.3319310237261038,,,0.28250000000000003,,
2025-04-05 08:04:40,1790.70875,0.18,0.18,0.001808207336511859,0.3443945006086748,,,0.28,,
2025-04-05 09:04:51,1782.471989,-0.46,0.46,-0.004610332469091129,0.35404826270771284,,,0.2916666666666667,,
2025-04-05 10:02:31,1784.487497,0.11,0.11,0.0011300987423126627,0.3606703516182554,,,0.295,0.36999999999999994,
2025-04-05 11:04:45,1786.769493,0.13,0.13,0.001277979331633395,0.3640056222169216,0.3910747217112727,,0.30083333333333334,0.31666666666666665,0.512204027522303
2025-04-05 12:04:44,1792.436411,0.32,0.32,0.003166581016733017,0.3839093881808044,0.35212992944941524,,0.31833333333333336,0.2904166666666667,0.46648163139137433
2025-04-05 13:04:43,1782.733174,-0.54,0.54,-0.005428140173238927,0.3916042859785168,0.3573766395100248,,0.3425,0.29833333333333334,0.47702165308834577
2025-04-05 14:04:47,1789.278141,0.37,0.37,0.0036645876775295507,0.4153384866590942,0.34136793454848696,,0.3691666666666667,0.28875,0.45943396727424346
2025-04-05 15:07:54,1793.099715,0.21,0.21,0.002133541241747554,0.3907705584857055,0.34448750399387923,,0.3491666666666667,0.28750000000000003,0.4597437519969396
2025-04-05 16:04:48,1796.638082,0.2,0.2,0.0019713797196539208,0.4017050386448924,0.3473240006629149,,0.3525,0.2925,0.46616200033145744
2025-04-05 17:04:52,1806.913841,0.57,0.57,0.005703143493901913,0.4066965742986431,0.3628417531560677,,0.3475,0.30083333333333334,0.4822542099113672
2025-04-05 18:04:50,1809.929737,0.17,0.17,0.0016676954001165647,0.35434910848868284,0.3445298814473931,,0.3083333333333333,0.28458333333333335,0.4568482740570299
2025-04-05 19:04:55,1809.43484,-0.03,0.03,-0.00027347176144081807,0.31873356716383455,0.34294076660037315,,0.27416666666666667,0.2783333333333333,0.4498037166335199
2025-04-05 20:04:43,1805.107859,-0.24,0.24,-0.0023942077475717963,0.3320650611758189,0.3437958148519428,,0.2791666666666667,0.27958333333333335,0.45148124075930474
2025-04-05 21:04:48,1807.947237,0.16,0.16,0.0015717327907142297,0.28773788485969976,0.33959147251472804,,0.25416666666666665,0.2729166666666667,0.4427124029240307
2025-04-05 22:04:46,1808.874921,0.05,0.05,0.0005129829335354052,0.28839093611368877,0.3394507508243451,,0.24916666666666665,0.27208333333333334,0.44180870874550593
2025-04-05 23:04:53,1810.821081,0.11,0.11,0.001075316925208281,0.28835647316377927,0.3399296089059581,,0.24750000000000003,0.27416666666666667,0.4441314711196457
2025-04-06 00:04:52,1799.630775,-0.62,0.62,-0.006198859466564309,0.34827476080982933,0.36239984422439664,,0.2725,0.29541666666666666,0.476616588778865
2025-04-06 01:01:27,1797.511747,-0.12,0.12,-0.0011781730816375522,0.30302368849834416,0.35821534036132413,,0.23750000000000002,0.29,0.469107670180662
2025-04-06 02:04:57,1794.325044,-0.18,0.18,-0.001774414608207521,0.29502476506879677,0.3589160251871298,,0.22166666666666668,0.29541666666666666,0.4748746792602315
2025-04-06 03:04:52,1790.182604,-0.23,0.23,-0.0023113031137927138,0.29691430835336885,0.34462640860455085,,0.22333333333333336,0.28625,0.45856320430227543
2025-04-06 04:01:45,1789.270997,-0.05,0.05,-0.0005093554052241564,0.2894524688821506,0.3440765364005056,,0.21083333333333332,0.2816666666666667,0.4537049348669195
